날짜,제품명,마케팅채널,마케팅비용,노출수,클릭수,전환수
2023-11-01,고성능 드론 Lite6,Google Ads,173357,24657,8291,5189
2023-10-17,울트라 솔루션 Ultra1,Blog,116874,19001,2636,1033
2023-10-30,기가 이어폰 Z7,Facebook,190646,62763,8217,3825
2023-09-11,고성능 모니터 Z,YouTube,303143,52521,3766,3190
2023-01-09,스마트 이어폰 Pro3,Instagram,259099,62448,4989,196
2023-01-08,무선 카메라 Z,YouTube,449264,47276,332,15
2023-10-22,하이퍼 카메라 X,YouTube,358169,49695,6120,513
2023-04-23,고성능 스피커 Pro,YouTube,479288,41318,7480,558
2023-12-03,고성능 스피커 Max,YouTube,218267,2350,2350,204
2023-08-15,하이퍼 허브 Plus,Blog,271039,87977,9757,1334
2023-02-16,무선 공기청정기 Lite9,Instagram,202991,68945,7833,3512
2023-06-30,퓨처 워치,Naver Ads,443092,42631,3777,1290
2023-01-26,스마트 마우스 X,Instagram,99723,73107,6336,2171
2023-05-22,퓨처 로봇청소기 Pro,Instagram,417532,9838,1326,724
2023-11-30,에코 솔루션 Plus2,YouTube,355508,68141,1665,817
2023-08-27,울트라 카메라 X,YouTube,426263,66674,513,285
2023-01-05,네오 키보드 Max8,Blog,171013,7682,3502,2804
2023-02-05,프로 모니터,Naver Ads,178065,57019,2510,23
2023-12-23,울트라 카메라 X,Blog,464809,54557,6848,1773
2023-09-19,스마트 솔루션 Lite,Blog,30688,72892,9075,492
2023-07-23,AI 키보드 Z6,Instagram,387130,34941,2164,1863
2023-04-22,울트라 공기청정기 Lite9,Facebook,259312,65476,6933,3806
2023-04-24,기가 태블릿 Max,Facebook,260911,84736,5997,1257
2023-02-12,기가 메모리 Go,Google Ads,499074,95222,7837,6229
2023-07-21,AI 메모리 X1,YouTube,405910,63601,6890,623
2023-08-18,하이퍼 허브 Plus,Facebook,93269,18278,584,567
2023-09-05,에코 모니터 Pro4,Facebook,381995,43976,6153,4757
2023-07-12,퀀텀 로봇청소기 Pro,Facebook,406769,12721,3188,854
2023-04-06,프로 스피커 Air,Facebook,431966,84988,8392,2266
2023-04-10,프로 센서 Ultra,YouTube,333098,81578,6977,4216
2023-11-02,하이퍼 프로젝터 Pro10,Naver Ads,250115,3628,3628,3500
2023-08-17,하이퍼 시스템 SE9,Facebook,449741,19715,2175,349
2023-12-11,AI 노트북,Blog,259210,42239,1739,668
2023-05-14,기가 글래스 Max,Naver Ads,28980,32311,7464,4607
2023-12-15,에코 공기청정기 Go,Facebook,303890,8343,3915,2112
2023-05-04,퓨처 메모리 Z2,Instagram,393573,98861,4969,3722
2023-04-12,퀀텀 솔루션 SE8,Naver Ads,90666,53945,344,100
2023-07-21,무선 드론 Lite,Blog,62710,23792,2196,945
2023-11-28,하이퍼 충전기 Z,Instagram,265397,42457,7218,6501
2023-02-20,네오 키보드 Plus,Blog,87802,54035,8197,7606
2023-12-29,네오 허브 Z9,Blog,142666,7686,1186,1111
2023-06-09,하이퍼 프로젝터 SE9,Facebook,204419,56163,3890,3103
2023-01-25,퀀텀 글래스 Max,Facebook,139985,20907,6258,1328
2023-09-06,퓨처 마우스 Air9,Blog,151679,26810,5727,1230
2023-05-09,하이퍼 센서 SE2,Facebook,354872,42394,2750,1334
2023-11-02,네오 이어폰,Blog,104917,15548,8557,4758
2023-08-31,퓨처 가습기 Ultra,Instagram,407370,90482,1500,1059
2023-11-12,퓨처 모니터 Max9,Blog,162488,60991,8736,1627
2023-09-13,네오 노트북 Z4,Naver Ads,389336,82620,9768,8580
2023-09-22,퀀텀 솔루션 SE8,Facebook,282326,86454,2777,164
2023-05-16,퀀텀 공기청정기 Pro9,Naver Ads,480788,37014,6505,4256
2023-03-29,스마트 프로젝터 Z6,Blog,79738,72983,2446,1319
2023-02-14,고성능 마우스 Plus10,Blog,73357,29458,3466,2173
2023-05-27,고성능 공기청정기 Air5,Facebook,202738,97712,5372,578
2023-06-10,기가 메모리 Pro,Instagram,415128,56498,192,36
2023-05-25,네오 허브 Z9,YouTube,446557,62438,4085,1430
2023-11-20,스마트 노트북 Pro,Google Ads,176483,82224,5470,350
2023-09-03,기가 충전기 Pro,YouTube,188132,76040,7650,3963
2023-04-24,하이퍼 글래스 Ultra7,Instagram,403239,67000,2098,2071
2023-04-14,AI 글래스 Z,YouTube,402078,77494,4636,4229
2023-07-22,퓨처 워치,Google Ads,48121,12361,4516,3703
2023-10-26,스마트 플랫폼 Ultra,YouTube,186386,30676,8357,5034
2023-05-07,하이퍼 프로젝터 Pro10,Blog,381849,87608,6508,5557
2023-05-31,퓨처 글래스 Z,YouTube,421456,19131,9290,9263
2023-03-15,AI 메모리,Facebook,261418,48156,7207,4172
2023-03-22,네오 허브 Go,YouTube,267632,23616,5405,2975
2023-03-09,네오 허브 Z9,Blog,277159,75175,256,110
2023-05-03,하이퍼 허브 Plus,Google Ads,343026,8993,8993,4205
2023-06-30,네오 프로세서 Lite,YouTube,44756,63161,7906,4769
2023-01-03,퓨처 드론 Z,YouTube,303913,30146,4903,948
2023-03-19,퀀텀 공기청정기 Pro9,Google Ads,118084,77241,2995,77
2023-11-16,AI 플랫폼 Z5,Google Ads,178756,82574,5307,4123
2023-06-28,스마트 가습기 Plus4,Naver Ads,377960,36566,4492,2966
2023-03-19,퀀텀 키보드 Max,Blog,387830,70299,1901,1333
2023-08-15,고성능 드론 Plus2,Blog,460369,90404,4763,1536
2023-04-30,무선 가습기 Z,Naver Ads,72321,32855,5792,761
2023-08-31,AI 노트북 Ultra,YouTube,432937,35147,124,3
2023-09-04,네오 키보드 Plus,Google Ads,271681,58321,5722,3644
2023-07-01,무선 시스템 Plus,Google Ads,279221,66897,3546,2331
2023-04-24,퀀텀 드론 Z,Blog,80502,57497,5429,314
2023-05-12,무선 글래스 Lite,Blog,487331,12742,9102,5838
2023-06-24,에코 드론 X,Google Ads,69354,82195,572,251
2023-01-18,기가 모니터 Max,Facebook,94495,19043,6553,5027
2023-10-16,퓨처 가습기 Air,Blog,459865,89479,3308,1735
2023-03-06,네오 노트북 Lite7,Facebook,247621,57292,4327,2180
2023-03-28,고성능 스피커 Max,Google Ads,295327,89989,4484,253
2023-09-13,퓨처 모니터 Pro6,Instagram,275683,73120,9285,9188
2023-10-03,울트라 허브 X2,Blog,59030,13180,7588,1278
2023-09-20,퀀텀 태블릿 Lite,Google Ads,189394,44343,8389,1044
2023-09-17,AI 드론 Max8,Google Ads,99902,85676,2587,1678
2023-08-20,기가 스피커 Ultra,Blog,158832,36914,1460,684
2023-10-04,네오 시스템 X7,Instagram,117562,98334,5429,714
2023-10-20,하이퍼 프로젝터 Plus,Facebook,68564,62149,6623,877
2023-07-17,하이퍼 태블릿 SE,Naver Ads,273540,48155,146,50
2023-06-30,울트라 스피커 Z10,Instagram,19055,24168,8072,4220
2023-07-22,퓨처 마우스 Lite,Google Ads,255511,86546,8771,6685
2023-09-10,무선 스피커 Lite,Google Ads,462400,76320,2649,352
2023-03-14,에코 노트북,YouTube,230168,51374,199,106
2023-06-13,하이퍼 공기청정기 SE3,Google Ads,203385,15651,8775,7934
2023-05-18,하이퍼 글래스 Lite10,Blog,289533,22998,6240,147
2023-10-13,퀀텀 이어폰 Z2,Blog,266765,97260,6954,2477
2023-05-21,네오 스피커,Naver Ads,10556,83831,3497,3069
2023-12-31,퀀텀 노트북 X,Facebook,139462,66620,3949,2693
2023-11-26,고성능 플랫폼 Ultra8,Google Ads,45539,31486,3952,3881
2023-10-18,네오 마우스 Plus,Instagram,335414,41715,905,78
2023-08-01,에코 태블릿 Z10,YouTube,466769,75638,7967,7608
2023-09-17,하이퍼 충전기,Naver Ads,73083,35019,4491,642
2023-04-02,무선 워치 Z3,YouTube,101677,35504,2630,80
2023-09-10,에코 모니터 Pro10,Blog,203760,89675,7467,6434
2023-08-11,AI 이어폰 Z3,Blog,488231,22707,2924,1643
2023-01-30,기가 프로세서 Ultra2,Facebook,255351,9524,4756,1511
2023-06-17,스마트 글래스 SE10,YouTube,204108,97454,9069,7764
2023-12-05,퓨처 키보드 Z,Facebook,384397,46177,5605,2162
2023-10-30,무선 가습기 SE,Facebook,320565,86284,7949,7024
2023-07-09,스마트 로봇청소기 Z,YouTube,488892,76937,2537,722
2023-03-18,기가 로봇청소기 X1,Google Ads,497913,56521,9969,7266
2023-10-16,네오 허브 Go,Google Ads,93122,23706,2303,1823
2023-08-05,무선 플랫폼 Pro6,Naver Ads,404645,72374,3116,1549
2023-12-25,무선 카메라 Lite9,YouTube,462927,92267,4904,3490
2023-01-02,기가 공기청정기 Max,Naver Ads,388776,23271,8942,3045
2023-06-20,네오 메모리 Air5,Blog,169417,27589,6134,846
2023-07-08,에코 글래스 Plus,Instagram,359655,76677,6603,4383
2023-01-28,고성능 플랫폼 Go4,Facebook,161377,51944,3897,67
2023-10-17,에코 이어폰 Pro3,Blog,202780,55943,4107,2108
2023-12-30,울트라 키보드,Facebook,496581,81297,3683,1721
2023-06-07,기가 프로세서 Ultra2,Google Ads,185380,12803,8966,3015
2023-04-28,울트라 센서 Plus4,YouTube,32142,65523,7493,5482
2023-06-27,기가 노트북 Go,Naver Ads,457550,4398,4398,2451
2023-09-05,고성능 센서 Plus,Instagram,99608,80298,2093,688
2023-05-31,무선 카메라 Z,Instagram,393566,12024,6328,6185
2023-08-01,스마트 플랫폼 Air,Blog,53438,58980,7553,7051
2023-02-22,네오 글래스 SE,Instagram,140973,49452,3913,2123
2023-12-10,AI 이어폰 Z3,Instagram,298776,13610,8993,4996
2023-07-14,무선 워치 Z3,Facebook,53469,83703,3826,2919
2023-02-12,하이퍼 프로젝터 Plus,Facebook,81067,6944,2429,160
2023-02-27,기가 글래스 Max6,Facebook,52793,94319,2967,850
2023-12-06,AI 프로세서 Plus3,Google Ads,317926,24651,1428,662
2023-09-20,퀀텀 태블릿 Plus,YouTube,139519,37567,2607,1979
2023-11-15,하이퍼 가습기 Lite,Naver Ads,90101,69161,9225,656
2023-03-07,AI 스피커 Z,Google Ads,488862,28572,4149,1194
2023-05-04,에코 프로젝터 X5,Blog,440793,75952,7416,4982
2023-02-09,기가 글래스 Max6,Blog,344040,61288,3081,2785
2023-10-11,퀀텀 가습기 SE,YouTube,393378,42106,6297,5661
2023-03-05,고성능 스피커 Max,Naver Ads,262432,57148,1559,1559
2023-08-21,에코 충전기 Pro,Naver Ads,438406,32233,2186,1762
2023-12-09,프로 마우스 Plus,Facebook,11593,42993,9109,6238
2023-04-07,기가 솔루션 Ultra9,YouTube,438282,55516,2204,513
2023-02-20,무선 허브 Z,Google Ads,172970,97388,2174,1072
2023-05-20,무선 메모리 Plus8,Facebook,314933,71218,2977,135
2023-01-12,고성능 워치 Air,Facebook,341655,19202,8771,1626
2023-02-19,하이퍼 가습기 Lite,Blog,338119,77187,1525,1429
2023-11-23,울트라 솔루션,YouTube,204684,78048,6030,2450
2023-11-08,퀀텀 드론 Air,Blog,297565,60103,4617,1744
2023-08-13,하이퍼 키보드 Plus3,Facebook,472863,14789,1948,1287
2023-06-19,하이퍼 충전기 Lite,Google Ads,302729,29044,8931,8810
2023-02-24,프로 키보드 Plus,Instagram,136597,35784,4116,269
2023-02-05,고성능 공기청정기 Air5,Google Ads,284018,43974,6870,3564
2023-10-03,무선 플랫폼 Go6,Instagram,261489,64466,7869,1510
2023-04-12,에코 모니터 X6,Blog,309947,62937,8529,151
2023-04-22,고성능 이어폰 Pro9,YouTube,128551,3067,3067,2859
2023-08-09,퀀텀 시스템 Go9,Facebook,346856,14192,7692,350
2023-01-09,기가 이어폰 Z7,YouTube,463749,62104,4426,1317
2023-11-19,무선 키보드 Plus8,Naver Ads,406568,35379,9412,1863
2023-07-07,프로 플랫폼 SE,YouTube,178269,39742,1166,76
2023-08-07,스마트 노트북 Pro,Naver Ads,416084,83475,3880,2246
2023-08-05,울트라 솔루션 Max5,Facebook,173384,79304,7391,4850
2023-10-08,프로 태블릿 X,Instagram,31364,73205,8269,2130
2023-10-24,기가 드론 X,Instagram,244201,89806,2360,746
2023-09-05,에코 플랫폼 Pro,Google Ads,74159,81477,7356,1815
2023-03-31,하이퍼 프로젝터 Z,Naver Ads,250238,58450,3261,2014
2023-08-24,하이퍼 프로세서 SE,Google Ads,167925,33740,1850,1165
2023-08-26,무선 카메라 Lite9,YouTube,323399,27589,7977,2074
2023-05-11,하이퍼 허브 Lite7,Instagram,257762,27052,534,413
2023-03-31,하이퍼 센서 Air9,Facebook,446116,99320,7628,935
2023-04-01,하이퍼 이어폰 Plus9,YouTube,383800,16901,8613,4621
2023-09-02,하이퍼 프로젝터 Z,Facebook,383246,18771,4342,3801
2023-04-27,하이퍼 글래스 Ultra7,Google Ads,472119,68475,284,8
2023-11-09,울트라 카메라 X,YouTube,208063,9386,8692,1338
2023-05-08,퓨처 허브 X8,Google Ads,317092,2208,2208,1152
2023-09-28,고성능 마우스 Air4,Google Ads,253548,42856,8072,3214
2023-03-15,무선 워치 Z3,Naver Ads,419881,67096,7073,221
2023-10-06,울트라 드론 Go4,Facebook,151041,36852,462,252
2023-12-10,하이퍼 워치 Plus8,YouTube,404761,82429,9199,671
2023-09-18,고성능 솔루션 Pro,Blog,432970,41658,6064,5383
2023-07-04,울트라 메모리 Lite,Blog,99021,79742,1022,73
2023-03-14,에코 이어폰 Pro3,Google Ads,192000,29640,9175,3717
2023-01-04,네오 솔루션 Ultra,Naver Ads,41229,41569,8189,449
2023-11-21,기가 시스템 Go4,Google Ads,71208,35129,3962,109
2023-06-29,하이퍼 허브 Plus,Blog,482266,96659,204,170
2023-05-09,기가 플랫폼 Max,Instagram,363131,11297,9282,8070
2023-08-18,울트라 노트북 Lite3,Naver Ads,95538,47634,6923,4685
2023-09-21,AI 키보드 Max,Google Ads,483072,2360,2238,578
2023-12-04,기가 이어폰 Z7,YouTube,287076,53054,3984,3017
2023-07-31,퀀텀 노트북 X,YouTube,163361,42149,8220,7299
2023-08-16,네오 솔루션 Ultra,Facebook,373794,83927,7756,7714
2023-04-14,무선 메모리 Plus8,Blog,418718,18377,4456,2424
2023-05-15,프로 모니터,Blog,201398,86265,5170,417
2023-06-13,기가 드론 X,Naver Ads,487960,53796,3652,3408
2023-09-18,울트라 워치 Ultra,Naver Ads,286548,54907,189,143
2023-03-23,에코 센서 Ultra3,Instagram,480336,17990,1891,1084
2023-08-11,네오 이어폰 Ultra7,Naver Ads,349855,37103,6939,1547
2023-06-21,하이퍼 충전기 Lite,Facebook,199141,58675,9077,7472
2023-08-28,퓨처 노트북 Z4,Blog,154719,72799,1147,675
2023-10-07,무선 플랫폼 Ultra,Naver Ads,273435,65442,3622,3534
2023-07-16,무선 스피커 Lite,Naver Ads,277178,9535,866,1
